"Term","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0097698~telomere maintenance via base-excision repair",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"328"
"GO:1901340~negative regulation of store-operated calcium channel activity",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"29979"
"GO:1902688~regulation of NAD metabolic process",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"9555"
"GO:0072389~flavin adenine dinucleotide catabolic process",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"7415"
"GO:1903007~positive regulation of Lys63-specific deubiquitinase activity",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"7415"
"GO:0006580~ethanolamine metabolic process",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"51573"
"GO:1904815~negative regulation of protein localization to chromosome, telomeric region",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"9555"
"GO:0140824~thioredoxin-dependent peroxiredoxin activity",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"5052"
"GO:0052925~dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"10195"
"GO:0000246~Delta24(24-1) sterol reductase activity",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"1718"
"GO:0047395~glycerophosphoinositol glycerophosphodiesterase activity",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"51573"
"GO:0050614~Delta24-sterol reductase activity",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"1718"
"GO:0052720~class II DNA-(apurinic or apyrimidinic site) endonuclease activity",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"328"
"GO:0090580~phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"328"
"R-HSA-4720475~Defective ALG3 causes CDG-1d",Inf,318.467741935484,0.00314003545201313,0.049544428355702,"10195"
"GO:0045901~positive regulation of translational elongation",327.091465888316,159.233870967742,5.79721101068036e-05,0.00460558976883284,"143244, 1984"
"GO:0045905~positive regulation of translational termination",327.091465888316,159.233870967742,5.79721101068036e-05,0.00460558976883284,"143244, 1984"
"GO:1902750~negative regulation of cell cycle G2/M phase transition",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"9555"
"GO:0006428~isoleucyl-tRNA aminoacylation",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"3376"
"GO:0061097~regulation of protein tyrosine kinase activity",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"57826"
"GO:1902255~positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator",331.799692722227,159.233870967742,5.85698464300373e-07,0.000236448639291632,"143244, 1984, 7314"
"GO:0021888~hypothalamus gonadotrophin-releasing hormone neuron development",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"7314"
"GO:1903006~positive regulation of protein K63-linked deubiquitination",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"7415"
"GO:1902882~regulation of response to oxidative stress",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"9555"
"GO:1904526~regulation of microtubule binding",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"2011"
"GO:0003064~regulation of heart rate by hormone",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"7531"
"GO:1902884~positive regulation of response to oxidative stress",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"9555"
"GO:1905213~negative regulation of mitotic chromosome condensation",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"9031"
"GO:1902175~regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"29979"
"GO:0061857~endoplasmic reticulum stress-induced pre-emptive quality control",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"7415"
"GO:0016482~cytosolic transport",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"10772"
"GO:1902340~negative regulation of chromosome condensation",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"3020"
"GO:0039694~viral RNA genome replication",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"5093"
"GO:0008309~double-stranded DNA exodeoxyribonuclease activity",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"328"
"GO:0000033~alpha-1,3-mannosyltransferase activity",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"10195"
"GO:0140431~DNA-(abasic site) binding",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"328"
"GO:0005133~type II interferon receptor binding",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"9093"
"GO:0004822~isoleucine-tRNA ligase activity",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"3376"
"GO:0016890~site-specific endodeoxyribonuclease activity, specific for altered base",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"328"
"GO:0072570~ADP-D-ribose binding",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"9555"
"GO:0106137~IkappaB kinase complex binding",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"9093"
"GO:0098847~sequence-specific single stranded DNA binding",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"5093"
"R-HSA-73930~Abasic sugar-phosphate removal via the single-nucleotide replacement pathway",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"328"
"KW-0693~Viral RNA replication",322.433248463813,159.233870967742,0.00627036961945537,0.0716425878952448,"5093"
"R-HSA-204626~Hypusine synthesis from eIF5A-lysine",216.114925389823,127.387096774194,9.64245122053444e-05,0.00656891989398908,"143244, 1984"
"GO:0034140~negative regulation of toll-like receptor 3 signaling pathway",160.775213348711,106.155913978495,0.00939103198503255,0.0957551437201635,"29979"
"GO:0051228~mitotic spindle disassembly",160.775213348711,106.155913978495,0.00939103198503255,0.0957551437201635,"7415"
"GO:1905634~regulation of protein localization to chromatin",160.775213348711,106.155913978495,0.00939103198503255,0.0957551437201635,"7415"
"GO:1903843~cellular response to arsenite ion",160.775213348711,106.155913978495,0.00939103198503255,0.0957551437201635,"7415"
"GO:1903226~positive regulation of endodermal cell differentiation",160.775213348711,106.155913978495,0.00939103198503255,0.0957551437201635,"9555"
"GO:0007549~sex-chromosome dosage compensation",160.775213348711,106.155913978495,0.00939103198503255,0.0957551437201635,"9555"
"GO:1903862~positive regulation of oxidative phosphorylation",160.775213348711,106.155913978495,0.00939103198503255,0.0957551437201635,"7415"
