"Term","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0021503~neural fold bending",Inf,564.142857142857,0.00177260065839457,0.073741323511385,"7798"
"GO:0036213~contractile ring contraction",Inf,564.142857142857,0.00177260065839457,0.073741323511385,"7798"
"GO:0071839~apoptotic process in bone marrow cell",Inf,564.142857142857,0.00177260065839457,0.073741323511385,"598"
"GO:0002581~negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",Inf,564.142857142857,0.00177260065839457,0.073741323511385,"7057"
"GO:1904837~beta-catenin-TCF complex assembly",Inf,564.142857142857,0.00177260065839457,0.073741323511385,"8085"
"GO:0070208~protein heterotrimerization",Inf,564.142857142857,0.00177260065839457,0.073741323511385,"1278"
"GO:2000118~regulation of sodium-dependent phosphate transport",Inf,564.142857142857,0.00177260065839457,0.073741323511385,"1408"
"GO:2000850~negative regulation of glucocorticoid secretion",570.129853368522,282.071428571429,0.00354214882375903,0.0895331906677893,"1408"
"GO:0010751~negative regulation of nitric oxide mediated signal transduction",570.129853368522,282.071428571429,0.00354214882375903,0.0895331906677893,"7057"
"GO:2000291~regulation of myoblast proliferation",570.129853368522,282.071428571429,0.00354214882375903,0.0895331906677893,"23060"
"GO:0021691~cerebellar Purkinje cell layer maturation",570.129853368522,282.071428571429,0.00354214882375903,0.0895331906677893,"372"
"GO:1904292~regulation of ERAD pathway",570.129853368522,282.071428571429,0.00354214882375903,0.0895331906677893,"9709"
"GO:0009785~blue light signaling pathway",570.129853368522,282.071428571429,0.00354214882375903,0.0895331906677893,"1408"
"GO:0097048~dendritic cell apoptotic process",570.129853368522,282.071428571429,0.00354214882375903,0.0895331906677893,"598"
"GO:0009882~blue light photoreceptor activity",570.129853368522,282.071428571429,0.00354214882375903,0.0895331906677893,"1408"
"HP_HYPERMOBILITY_OF_INTERPHALANGEAL_JOINTS",392.820741709391,225.657142857143,3.04230107717751e-05,0.00967560396152348,"1278, 1281"
"GO:0044839~cell cycle G2/M phase transition",288.133558316365,188.047619047619,0.00530864959826982,0.0895331906677893,"10270"
"GO:0044565~dendritic cell proliferation",288.133558316365,188.047619047619,0.00530864959826982,0.0895331906677893,"598"
"GO:0021535~cell migration in hindbrain",288.133558316365,188.047619047619,0.00530864959826982,0.0895331906677893,"54910"
"GO:0140077~positive regulation of lipoprotein transport",288.133558316365,188.047619047619,0.00530864959826982,0.0895331906677893,"10857"
"GO:0051447~negative regulation of meiotic cell cycle",288.133558316365,188.047619047619,0.00530864959826982,0.0895331906677893,"1843"
"GO:0032905~transforming growth factor beta1 production",288.133558316365,188.047619047619,0.00530864959826982,0.0895331906677893,"1281"
"GO:0010724~regulation of definitive erythrocyte differentiation",288.133558316365,188.047619047619,0.00530864959826982,0.0895331906677893,"23543"
"GO:2001027~negative regulation of endothelial cell chemotaxis",288.133558316365,188.047619047619,0.00530864959826982,0.0895331906677893,"7057"
"GO:0070052~collagen V binding",288.133558316365,188.047619047619,0.00530864959826982,0.0895331906677893,"7057"
"GO:0061770~translation elongation factor binding",288.133558316365,188.047619047619,0.00530864959826982,0.0895331906677893,"26135"
"R-HSA-9692913~SARS-CoV-1-mediated effects on programmed cell death",288.133558316365,188.047619047619,0.00530864959826982,0.0895331906677893,"598"
"R-HSA-844455~The NLRP1 inflammasome",288.133558316365,188.047619047619,0.00530864959826982,0.0895331906677893,"598"
"R-HSA-9845622~Defective VWF binding to collagen type I ",288.133558316365,188.047619047619,0.00530864959826982,0.0895331906677893,"1278"
"HP_BRANCHIAL_CYST",297.437660379042,188.047619047619,4.55836802380933e-05,0.013530755750674,"6134, 8085"
"69.Survival_signaling_BH3-Bad",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"598"
"159.14-3-3_Apoptosis",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"598"
"GO:0002605~negative regulation of dendritic cell antigen processing and presentation",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"7057"
"GO:0010499~proteasomal ubiquitin-independent protein catabolic process",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"23198"
"GO:0036022~limb joint morphogenesis",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"1281"
"GO:0060350~endochondral bone morphogenesis",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"1281"
"GO:0010748~negative regulation of long-chain fatty acid import across plasma membrane",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"7057"
"GO:0046898~response to cycloheximide",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"598"
"GO:0001555~oocyte growth",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"8085"
"GO:0021942~radial glia guided migration of Purkinje cell",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"23543"
"GO:0060414~aorta smooth muscle tissue morphogenesis",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"1281"
"GO:0141014~ribosome hibernation",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"26135"
"GO:0070180~large ribosomal subunit rRNA binding",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"6136"
"GO:0071987~WD40-repeat domain binding",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"55031"
"GO:0140862~histone H2AK119 ubiquitin ligase activity",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"10336"
"R-HSA-9845619~Enhanced cleavage of VWF variant by ADAMTS13",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"1278"
"R-HSA-9845621~Defective VWF cleavage by ADAMTS13 variant",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"1278"
"NR4A2_TARGET_GENES",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"10336"
"GOBP_AORTA_SMOOTH_MUSCLE_TISSUE_MORPHOGENESIS",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"1281"
"GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"7057"
"GOMF_WD40_REPEAT_DOMAIN_BINDING",192.50631922523,141.035714285714,0.00707210807583336,0.10190472882734,"55031"
"HP_ARTERIAL_RUPTURE",197.376469383116,141.035714285714,8.49000949060896e-05,0.0193855216702238,"1278, 1281"
"GO:0032946~positive regulation of mononuclear cell proliferation",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"598"
"GO:0071312~cellular response to alkaloid",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"598"
"GO:0003383~apical constriction",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"7798"
"GO:1903119~protein localization to actin cytoskeleton",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"7798"
"WP3596:miR 517 relationship with ARCN1 and USP1",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"372"
"JONES_TCOF1_TARGETS",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"900"
"PLASARI_TGFB1_TARGETS_1HR_DN",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"1281"
"UNTERMAN_PROGRESSIVE_VS_STABLE_IPF_B_CELL_DN",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"9709"
"BIOCARTA_RAN_PATHWAY",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"5903"
"WP_MIR517_RELATIONSHIP_WITH_ARCN1_AND_USP1",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"372"
"MIR652_3P",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"27327"
"NEUROD2_TARGET_GENES",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"10336"
"GOBP_APOPTOTIC_PROCESS_IN_BONE_MARROW_CELL",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"598"
"GOBP_HINDBRAIN_MATURATION",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"372"
"GOBP_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"7057"
"GOBP_REGULATION_OF_SODIUM_DEPENDENT_PHOSPHATE_TRANSPORT",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"1408"
"GOBP_RESPONSE_TO_CYCLOHEXIMIDE",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"598"
"GOCC_ANNULATE_LAMELLAE",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"5903"
"GOCC_SIGNAL_PEPTIDASE_COMPLEX",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"60559"
"GOCC_SPERMATOPROTEASOME_COMPLEX",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"23198"
"GOMF_LARGE_RIBOSOMAL_SUBUNIT_RRNA_BINDING",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"6136"
"HP_ABNORMAL_PUTAMEN_MORPHOLOGY",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"5903"
"HP_BASILAR_IMPRESSION",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"1278"
"HP_ECHOGENIC_FETAL_BOWEL",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"8085"
"HP_FLEXION_CONTRACTURE_OF_THE_2ND_FINGER",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"6134"
"HP_TENDON_RUPTURE",144.649526463505,112.828571428571,0.00883252934209888,0.110468642965436,"1278"
"GO:0048407~platelet-derived growth factor binding",131.987303850423,102.571428571429,0.000166211561930376,0.0279266784715093,"1278, 1281"
"GOMF_PLATELET_DERIVED_GROWTH_FACTOR_BINDING",131.987303850423,102.571428571429,0.000166211561930376,0.0279266784715093,"1278, 1281"
"152.altered_synaptic_signalling-neurodegenerative_disorders",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"598"
"127.Mito-stress",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"598"
"GO:2000323~negative regulation of nuclear receptor-mediated glucocorticoid signaling pathway",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"1408"
"GO:0006949~syncytium formation",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"900"
"GO:0030578~PML body organization",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"26135"
"GO:0009629~response to gravity",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"900"
"GO:1903671~negative regulation of sprouting angiogenesis",118.855887681457,94.0238095238095,0.000199231822485261,0.0311256031444079,"55333, 7057"
"GO:2001233~regulation of apoptotic signaling pathway",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"598"
"GO:0010754~negative regulation of cGMP-mediated signaling",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"7057"
"GO:0032914~positive regulation of transforming growth factor beta1 production",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"7057"
"GO:0051645~Golgi localization",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"372"
"GO:0051434~BH3 domain binding",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"598"
"WP3672:lncRNA mediated mechanisms of therapeutic resistance",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"598"
"CASTELLANO_HRAS_AND_NRAS_TARGETS_UP",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"900"
"FOURNIER_ACINAR_DEVELOPMENT_EARLY_DN",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"7057"
"HEBERT_MATRISOME_TNBC_LUNG_METASTASIS_TUMOR_CELL_DERIVED",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"1281"
"KAUFFMANN_MELANOMA_RELAPSE_DN",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"1408"
"BIOCARTA_CIRCADIAN_PATHWAY",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"1408"
"WP_LNCRNAMEDIATED_MECHANISMS_OF_THERAPEUTIC_RESISTANCE",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"598"
"GOBP_NEGATIVE_REGULATION_OF_CGMP_MEDIATED_SIGNALING",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"7057"
"GOBP_NEGATIVE_REGULATION_OF_SPROUTING_ANGIOGENESIS",118.855887681457,94.0238095238095,0.000199231822485261,0.0311256031444079,"55333, 7057"
"GOBP_PML_BODY_ORGANIZATION",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"26135"
"GOBP_POSITIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA1_PRODUCTION",115.403246955766,94.0238095238095,0.0105899184744711,0.117054804495454,"7057"
