"Term","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:0016203~muscle attachment",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"1605"
"GO:0021682~nerve maturation",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"1605"
"GO:0051283~negative regulation of sequestering of calcium ion",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"309"
"GO:1904764~chaperone-mediated autophagy translocation complex disassembly",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"3312"
"GO:1902167~positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"6154"
"GO:0150019~basal dendrite morphogenesis",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"9344"
"GO:1905572~ganglioside GM1 transport to membrane",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"5660"
"GO:0031947~negative regulation of glucocorticoid biosynthetic process",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"476"
"GO:1904531~positive regulation of actin filament binding",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"25"
"GO:1904589~regulation of protein import",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"3312"
"GO:2000192~negative regulation of fatty acid transport",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"51024"
"GO:0140754~reorganization of cellular membranes to establish viral sites of replication",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"5297"
"GO:0045112~integrin biosynthetic process",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"1289"
"GO:0010816~calcitonin catabolic process",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"1889"
"GO:0034959~endothelin maturation",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"1889"
"GO:1901668~regulation of superoxide dismutase activity",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"23334"
"GO:0071166~ribonucleoprotein complex localization",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"26121"
"GO:1904803~regulation of translation involved in cellular response to UV",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"6154"
"GO:1903644~regulation of chaperone-mediated protein folding",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"3300"
"GO:0032938~negative regulation of translation in response to oxidative stress",Inf,148.458646616541,0.00673588250189927,0.0949223881534107,"5371"
