"Term","Odds_Ratio","Fold_Enrichment","PValue","FDR","Genes"
"GO:2000493~negative regulation of interleukin-18-mediated signaling pathway",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"1540"
"GO:0032460~negative regulation of protein oligomerization",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"2033"
"GO:0061921~peptidyl-lysine propionylation",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"2033"
"GO:0140067~peptidyl-lysine butyrylation",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"2033"
"GO:0071283~cellular response to iron(III) ion",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"567"
"GO:1903966~monounsaturated fatty acid biosynthetic process",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"6319"
"GO:0061481~response to TNF agonist",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"6188"
"GO:0006787~porphyrin-containing compound catabolic process",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"7389"
"GO:0072739~response to anisomycin",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"11143"
"GO:0097275~intracellular ammonium homeostasis",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"2752"
"GO:0072722~response to amitrole",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"847"
"GO:0097101~blood vessel endothelial cell fate specification",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"3516"
"GO:1901186~positive regulation of ERBB signaling pathway",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"3516"
"GO:1904404~response to formaldehyde",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"4193"
"GO:1900163~positive regulation of phospholipid scramblase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"5580"
"GO:0061582~intestinal epithelial cell migration",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"5781"
"GO:0043379~memory T cell differentiation",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"7248"
"GO:1905161~protein localization to phagocytic vesicle",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"8887"
"GO:0072720~response to dithiothreitol",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"11143"
"GO:0015961~diadenosine polyphosphate catabolic process",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"11165"
"GO:0061614~miRNA transcription",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"1655"
"GO:0055082~intracellular chemical homeostasis",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"23038"
"GO:1904439~negative regulation of iron ion import across plasma membrane",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"23479"
"GO:0071301~cellular response to vitamin B1",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"4193"
"GO:0050432~catecholamine secretion",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"4204"
"GO:0071317~cellular response to isoquinoline alkaloid",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"4204"
"GO:0006499~N-terminal protein myristoylation",Inf,66.258389261745,0.000227028527830323,0.00542785045108807,"5494, 5495"
"GO:0044795~trans-Golgi network to recycling endosome transport",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"5872"
"GO:0051463~negative regulation of cortisol secretion",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"5781"
"GO:0060125~negative regulation of growth hormone secretion",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"5781"
"GO:0072175~epithelial tube formation",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"5420"
"GO:0032077~positive regulation of deoxyribonuclease activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"5111"
"GO:0035037~sperm entry",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"7337"
"GO:0035964~COPI-coated vesicle budding",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"10972"
"GO:0140066~peptidyl-lysine crotonylation",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"2033"
"GO:1901189~positive regulation of ephrin receptor signaling pathway",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"3516"
"GO:1903941~negative regulation of respiratory gaseous exchange",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"4204"
"GO:0002036~regulation of L-glutamate import across plasma membrane",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"4735"
"GO:0045738~negative regulation of DNA repair",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"6188"
"GO:1905314~semi-lunar valve development",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"659"
"GO:0071378~cellular response to growth hormone stimulus",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"8036"
"GO:1990466~protein autosumoylation",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"9189"
"GO:1903703~enterocyte differentiation",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"10413"
"GO:0090070~positive regulation of ribosome biogenesis",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"10600"
"GO:0106272~protein localization to ERGIC",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"10972"
"GO:1902003~regulation of amyloid-beta formation",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"10972"
"GO:0042816~vitamin B6 metabolic process",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"11212"
"GO:0060844~arterial endothelial cell fate commitment",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"3516"
"GO:2000753~positive regulation of glucosylceramide catabolic process",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"5580"
"GO:1904197~positive regulation of granulosa cell proliferation",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"57504"
"GO:0034398~telomere tethering at nuclear periphery",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"4928"
"GO:0042558~pteridine-containing compound metabolic process",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"4548"
"GO:1905528~positive regulation of Golgi lumen acidification",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"7337"
"GO:0002263~cell activation involved in immune response",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"8729"
"GO:1905833~negative regulation of microtubule nucleation",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"8874"
"GO:0048199~vesicle targeting, to, from or within Golgi",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"10972"
"GO:0072710~response to hydroxyurea",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"11143"
"GO:0097045~phosphatidylserine exposure on blood platelet",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"196527"
"GO:0032058~positive regulation of translational initiation in response to stress",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"23645"
"GO:0002209~behavioral defense response",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"2033"
"GO:0036268~swimming",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"2033"
"GO:0099191~trans-synaptic signaling by BDNF",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"4204"
"GO:1990611~regulation of cytoplasmic translational initiation in response to stress",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"55364"
"GO:1990739~granulosa cell proliferation",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"57504"
"GO:0000096~sulfur amino acid metabolic process",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"4548"
"GO:0031990~mRNA export from nucleus in response to heat stress",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"7175"
"GO:1904333~positive regulation of error-prone translesion synthesis",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"7398"
"GO:0080184~response to phenylpropanoid",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"847"
"GO:1903420~protein localization to endoplasmic reticulum tubular network",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"8729"
"GO:0120012~intermembrane sphingolipid transfer",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"10087"
"GO:0106273~cytosol to ERGIC protein transport",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"10972"
"GO:0072716~response to actinomycin D",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"11143"
"GO:0071544~diphosphoinositol polyphosphate catabolic process",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"11165"
"GO:0110154~RNA decapping",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"11165"
"GO:0160145~negative regulation of GDF15-GFRAL signaling pathway",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"4323"
"GO:1901956~positive regulation of retrograde dense core granule transport",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"4204"
"GO:1901148~gene expression involved in extracellular matrix organization",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"57326"
"GO:0010965~regulation of mitotic sister chromatid separation",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"7175"
"GO:1905667~negative regulation of protein localization to endosome",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"88455"
"GO:0102039~NADH-dependent peroxiredoxin activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"10935"
"GO:0018467~formaldehyde dehydrogenase (NAD+) activity",Inf,66.258389261745,0.000227028527830323,0.00542785045108807,"128, 223"
"GO:0106321~S-(hydroxymethyl)glutathione dehydrogenase (NADP+) activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"128"
"GO:0061815~Met1-linked polyubiquitin deubiquitinase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"1540"
"GO:0004312~fatty acid synthase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"2194"
"GO:0140069~histone butyryltransferase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"2033"
"GO:0003881~CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"10423"
"GO:0106322~S-(hydroxymethyl)glutathione dehydrogenase (NAD+) activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"128"
"GO:0016639~oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"2746"
"GO:0004423~iduronate-2-sulfatase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"3423"
"GO:0030379~neurotensin receptor activity, non-G protein-coupled",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"6272"
"GO:0019119~phenanthrene-9,10-epoxide hydrolase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"8574"
"GO:0004482~mRNA 5'-cap (guanine-N7-)-methyltransferase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"8731"
"GO:0047105~4-trimethylammoniobutyraldehyde dehydrogenase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"223"
"GO:0008705~methionine synthase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"4548"
"GO:0032896~palmitoyl-CoA 9-desaturase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"6319"
"GO:0008117~sphinganine-1-phosphate aldolase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"8879"
"GO:0052840~inositol diphosphate tetrakisphosphate diphosphatase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"11165"
"GO:0052842~inositol diphosphate pentakisphosphate diphosphatase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"11165"
"GO:0004149~dihydrolipoyllysine-residue succinyltransferase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"1743"
"GO:0004313~[acyl-carrier-protein] S-acetyltransferase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"2194"
"GO:0004853~uroporphyrinogen decarboxylase activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"7389"
"GO:0032358~oxidized pyrimidine DNA binding",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"6188"
"GO:0015658~branched-chain amino acid transmembrane transporter activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"9673"
"GO:0019780~FAT10 activating enzyme activity",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"55236"
"GO:0031177~phosphopantetheine binding",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"2194"
"R-HSA-9022534~Loss of MECP2 binding ability to 5hmC-DNA",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"4204"
"R-HSA-9694301~Maturation of replicase proteins",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"23479"
"R-HSA-2206296~MPS II - Hunter syndrome",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"3423"
"R-HSA-2206305~MPS IIID - Sanfilippo syndrome D",Inf,66.258389261745,0.0150924284629019,0.0884305030572675,"2799"
"GO:0021697~cerebellar cortex formation",130.680686737344,44.17225950783,0.000674278062421447,0.0120329942886861,"5604, 5781"
"GO:1902635~1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process",130.680686737344,44.17225950783,0.000674278062421447,0.0120329942886861,"79837, 8396"
